Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,"SOILL Restaurant Systems, LLC",140700592,5,26499554.27,24528023.19,1971531.08,7617222,5645690.92,1971531.08,591460.91,492884.24,98576.67
Springfield,"SOILL Restaurant Systems, LLC",140700608,5,31906631.31,29343517.58,2563113.73,9459378,6896258.67,2563119.33,768938.29,640782.05,128156.24
Springfield,"SOILL Restaurant Systems, LLC",140700714,5,34518711.81,31915502.79,2603209.02,10047483,7444264.33,2603218.67,780967.85,650806.58,130161.27
Springfield,"South Side Columbian Home Association, Inc.",130701823,4,1198851.29,1115115.62,83735.67,457697,373961.33,83735.67,25121.32,20934.46,4186.86
Springfield,"Spammy's, Inc.",120706742,5,6685687.16,6065600.35,620086.81,2019619,1399531.65,620087.35,186028.83,155024.15,31004.68
Springfield,"Springfield Char House, Inc.",150703869,5,4088886.54,3772886.5,316000.04,1297035,981034.71,316000.29,94802.2,79001.91,15800.29
Springfield,Springfield Columbus Home Association,120702082,5,14517719.48,13323625.67,1194093.81,4895094,3700919.63,1194174.37,358254.61,298545.62,59708.99
Springfield,"SPRINGFIELD GAS AND WASH I, LLC",151003550,5,26180173.36,24067264.55,2112908.81,8472942,6360032.29,2112909.71,633874.42,528228.74,105645.68
Springfield,Springfield Lodge No. 158 of the Benevolent and Protective Order of Elks ,120811750,5,13180966.49,12184531.44,996435.05,4164553,3167825.59,996727.41,299021.03,249184.3,49836.73
Springfield,"Springfield Post No. 32, The American Legion, Department of Illinois",120912720,5,25564633.87,23384443.21,2180190.66,7107035,4926814.24,2180220.76,654069.36,545057.9,109011.46
Springfield,STANKS INC.,130702114,5,4765770.54,4390676.16,375094.38,1559452,1184357.62,375094.38,112530.44,93775.45,18754.99
Springfield,"Starship Partners, Inc.",120706045,5,25735983.94,23654499.16,2081484.78,8097855,6016370.18,2081484.82,624448.32,520373.61,104074.71
